Issue Type,Summary,Description,Epic Name,Story Points,Priority,Component,Labels
Epic,Homepage and Navigation Testing,"Test homepage functionality and navigation features",,13,High,Frontend Testing,"testing,automation,prestashop"
Story,Homepage Load and Header Elements,"Verify PrestaShop homepage loads correctly with all header elements",Homepage and Navigation Testing,3,High,Frontend Testing,"testing,manual-testing"
Story,Category Navigation,"Test category navigation and dropdown menus",Homepage and Navigation Testing,5,High,Frontend Testing,"testing,navigation"
Epic,Product Search Testing,"Validate search functionality and results",,5,High,Frontend Testing,"testing,automation,search"
Story,Basic Product Search,"Test basic product search functionality",Product Search Testing,3,High,Frontend Testing,"testing,search"
Story,Empty Search Results,"Test handling of search queries with no results",Product Search Testing,2,Medium,Frontend Testing,"testing,search,edge-cases"
Epic,Product Detail Pages,"Test product information display and interaction",,10,High,Frontend Testing,"testing,product-details"
Story,Product Information Display,"Verify product detail page displays complete information",Product Detail Pages,5,High,Frontend Testing,"testing,product-details"
Story,Product Variants and Options,"Test product variant selection and quantity controls",Product Detail Pages,5,Medium,Frontend Testing,"testing,product-variants"
Epic,Shopping Cart Management,"Test cart functionality and operations",,8,High,Cart & Checkout,"testing,cart,automation"
Story,Add Products to Cart,"Test adding products to shopping cart",Shopping Cart Management,3,High,Cart & Checkout,"testing,cart"
Story,Cart Operations,"Test cart management operations",Shopping Cart Management,5,High,Cart & Checkout,"testing,cart,operations"
Epic,User Authentication,"Test user registration and login",,8,High,User Authentication,"testing,authentication"
Story,New User Registration,"Test user registration process",User Authentication,5,High,User Authentication,"testing,registration"
Story,User Login Process,"Test user authentication and login",User Authentication,3,High,User Authentication,"testing,login"
Epic,Checkout Process,"Test e-commerce checkout functionality",,13,High,Cart & Checkout,"testing,checkout,e-commerce"
Story,Guest Checkout Flow,"Test complete guest checkout process",Checkout Process,8,High,Cart & Checkout,"testing,checkout,guest"
Story,Registered User Checkout,"Test checkout for logged-in users",Checkout Process,5,Medium,Cart & Checkout,"testing,checkout,registered"
Epic,Newsletter and Footer,"Test newsletter and footer functionality",,5,Low,Frontend Testing,"testing,newsletter,footer"
Story,Newsletter Subscription,"Test newsletter signup functionality",Newsletter and Footer,3,Low,Frontend Testing,"testing,newsletter"
Story,Footer Navigation,"Test footer links and information",Newsletter and Footer,2,Low,Frontend Testing,"testing,footer,navigation"
Epic,Error Handling and Edge Cases,"Test error handling and edge cases",,13,Medium,Error Handling,"testing,error-handling,edge-cases"
Story,Form Validation,"Test form validation across the application",Error Handling and Edge Cases,5,Medium,Error Handling,"testing,validation,forms"
Story,Browser Compatibility,"Test cross-browser functionality",Error Handling and Edge Cases,8,Medium,Error Handling,"testing,browser-compatibility,cross-browser"